Question,Given a Sentinel-2 GeoTIFF file, write a Python code to compute NDVI for every pixel and classify each pixel as ‘urban’ if NDVI < 0.2, ‘vegetation’ if NDVI > 0.3, and ‘transition’ otherwise.

"Participant Id","Display Name","Submitted At","Opinion Id","Opinion","Rank","Of","Rating","Votes","Created At"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f9626fc9f4b37f1ae8e19d","option_3",1,4,100,5,"22 Oct 2025, 11:02 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f961f2e3c81a9869bc644a","option_1",2,4,50,5,"22 Oct 2025, 11:00 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96263c9f4b37f1ae8d746","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 11:01 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f9627fe3c81a9869bc6f09","option_4",4,4,25,5,"22 Oct 2025, 11:02 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f9626fc9f4b37f1ae8e19d","option_3",1,4,100,5,"22 Oct 2025, 11:02 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f961f2e3c81a9869bc644a","option_1",2,4,50,5,"22 Oct 2025, 11:00 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f9627fe3c81a9869bc6f09","option_4",3,4,33.333333333333336,5,"22 Oct 2025, 11:02 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96263c9f4b37f1ae8d746","option_2",4,4,25,5,"22 Oct 2025, 11:01 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f9627fe3c81a9869bc6f09","option_4",1,4,100,5,"22 Oct 2025, 11:02 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96263c9f4b37f1ae8d746","option_2",2,4,50,5,"22 Oct 2025, 11:01 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f9626fc9f4b37f1ae8e19d","option_3",3,4,33.333333333333336,5,"22 Oct 2025, 11:02 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f961f2e3c81a9869bc644a","option_1",4,4,25,5,"22 Oct 2025, 11:00 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f961f2e3c81a9869bc644a","option_1",1,4,100,5,"22 Oct 2025, 11:00 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f9627fe3c81a9869bc6f09","option_4",2,4,50,5,"22 Oct 2025, 11:02 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f9626fc9f4b37f1ae8e19d","option_3",3,4,33.333333333333336,5,"22 Oct 2025, 11:02 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96263c9f4b37f1ae8d746","option_2",4,4,25,5,"22 Oct 2025, 11:01 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f9627fe3c81a9869bc6f09","option_4",1,4,100,5,"22 Oct 2025, 11:02 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f9626fc9f4b37f1ae8e19d","option_3",2,4,50,5,"22 Oct 2025, 11:02 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96263c9f4b37f1ae8d746","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 11:01 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f961f2e3c81a9869bc644a","option_1",4,4,25,5,"22 Oct 2025, 11:00 pm"
